日期,月份,方案,EV回退,主队,客队,真实总进球,下注选项,命中概率,期望收益EV,排序分数,总下注额,下注分配,是否命中,本场收益,是否止损,累计收益,当前倍投层级
2015-02-01,2015-02,方案B（P：按命中概率选）,否,HOME,AWAY,1,2/3,0.47041629234311444,-0.24982336153531448,0.47041629234311444,100,"{2: 50.0, 3: 50.0}",未命中,-100.0,否,-100.0,1
2015-02-01,2015-02,方案B（P：按命中概率选）,否,HOME,AWAY,3,2/3,0.47041629234311444,-0.1261244788224627,0.47041629234311444,300,"{2: 150.0, 3: 150.0}",命中,187.5,否,87.5,0
2015-02-01,2015-02,方案B（P：按命中概率选）,否,HOME,AWAY,0,2/3,0.47041629234311444,-0.2408957530674889,0.47041629234311444,100,"{2: 50.0, 3: 50.0}",未命中,-100.0,否,-12.5,1
2015-02-01,2015-02,方案B（P：按命中概率选）,否,HOME,AWAY,2,2/3,0.47041629234311444,-0.2215812155169048,0.47041629234311444,300,"{2: 150.0, 3: 150.0}",命中,210.0,否,197.5,0
2015-02-01,2015-02,方案B（P：按命中概率选）,否,HOME,AWAY,3,2/3,0.47041629234311444,-0.23806295422673662,0.47041629234311444,100,"{2: 50.0, 3: 50.0}",命中,82.5,否,280.0,0
2015-02-01,2015-02,方案B（P：按命中概率选）,否,HOME,AWAY,2,2/3,0.47041629234311444,-0.2453595573014017,0.47041629234311444,100,"{2: 50.0, 3: 50.0}",命中,52.499999999999986,否,332.5,0
2015-02-01,2015-02,方案B（P：按命中概率选）,否,HOME,AWAY,0,2/3,0.47041629234311444,-0.23668947600091728,0.47041629234311444,100,"{2: 50.0, 3: 50.0}",未命中,-100.0,否,232.5,1
2015-02-01,2015-02,方案B（P：按命中概率选）,否,HOME,AWAY,3,2/3,0.47041629234311444,-0.1734236352241152,0.47041629234311444,300,"{2: 150.0, 3: 150.0}",命中,202.5,否,435.0,0
2015-02-01,2015-02,方案B（P：按命中概率选）,否,HOME,AWAY,4,2/3,0.47041629234311444,-0.2487074104768363,0.47041629234311444,100,"{2: 50.0, 3: 50.0}",未命中,-100.0,否,335.0,1
2015-02-01,2015-02,方案B（P：按命中概率选）,否,HOME,AWAY,1,2/3,0.47041629234311444,-0.2243281719685435,0.47041629234311444,300,"{2: 150.0, 3: 150.0}",未命中,-300.0,否,35.0,2
