date,month_id,home_team,away_team,y_true,selected_set,p_selected,stake_total,stake_split,hit,profit,stoploss,bankroll,martingale_level
2015-02-01,2015-02,HOME,AWAY,1,"(2, 3)",0.47041629234311444,100,"{2: 50.0, 3: 50.0}",0,-100.0,0,-100.0,1
2015-02-01,2015-02,HOME,AWAY,3,"(2, 3)",0.47041629234311444,300,"{2: 150.0, 3: 150.0}",1,187.5,0,87.5,0
2015-02-01,2015-02,HOME,AWAY,0,"(2, 3)",0.47041629234311444,100,"{2: 50.0, 3: 50.0}",0,-100.0,0,-12.5,1
2015-02-01,2015-02,HOME,AWAY,2,"(2, 3)",0.47041629234311444,300,"{2: 150.0, 3: 150.0}",1,210.0,0,197.5,0
2015-02-01,2015-02,HOME,AWAY,3,"(2, 3)",0.47041629234311444,100,"{2: 50.0, 3: 50.0}",1,82.5,0,280.0,0
2015-02-01,2015-02,HOME,AWAY,2,"(2, 3)",0.47041629234311444,100,"{2: 50.0, 3: 50.0}",1,52.499999999999986,0,332.5,0
2015-02-01,2015-02,HOME,AWAY,0,"(2, 3)",0.47041629234311444,100,"{2: 50.0, 3: 50.0}",0,-100.0,0,232.5,1
2015-02-01,2015-02,HOME,AWAY,3,"(2, 3)",0.47041629234311444,300,"{2: 150.0, 3: 150.0}",1,202.5,0,435.0,0
2015-02-01,2015-02,HOME,AWAY,4,"(2, 3)",0.47041629234311444,100,"{2: 50.0, 3: 50.0}",0,-100.0,0,335.0,1
2015-02-01,2015-02,HOME,AWAY,1,"(2, 3)",0.47041629234311444,300,"{2: 150.0, 3: 150.0}",0,-300.0,0,35.0,2
2015-02-01,2015-02,HOME,AWAY,3,"(2, 3)",0.47041629234311444,900,"{2: 450.0, 3: 450.0}",1,652.5,0,687.5,0
2015-02-01,2015-02,HOME,AWAY,0,"(2, 3)",0.47041629234311444,100,"{2: 50.0, 3: 50.0}",0,-100.0,0,587.5,1
2015-02-01,2015-02,HOME,AWAY,1,"(2, 3)",0.47041629234311444,300,"{2: 150.0, 3: 150.0}",0,-300.0,0,287.5,2
2015-02-01,2015-02,HOME,AWAY,2,"(2, 3)",0.47041629234311444,900,"{2: 450.0, 3: 450.0}",1,337.5,0,625.0,0
2015-02-01,2015-02,HOME,AWAY,0,"(2, 3)",0.47041629234311444,100,"{2: 50.0, 3: 50.0}",0,-100.0,0,525.0,1
2015-02-01,2015-02,HOME,AWAY,2,"(2, 3)",0.47041629234311444,300,"{2: 150.0, 3: 150.0}",1,142.5,0,667.5,0
2015-03-01,2015-03,HOME,AWAY,0,"(2, 3)",0.4689664628917714,100,"{2: 50.0, 3: 50.0}",0,-100.0,0,567.5,1
2015-03-01,2015-03,HOME,AWAY,2,"(2, 3)",0.4689664628917714,300,"{2: 150.0, 3: 150.0}",1,262.5,0,830.0,0
2015-03-01,2015-03,HOME,AWAY,2,"(2, 3)",0.4689664628917714,100,"{2: 50.0, 3: 50.0}",1,75.0,0,905.0,0
2015-03-01,2015-03,HOME,AWAY,5,"(2, 3)",0.4689664628917714,100,"{2: 50.0, 3: 50.0}",0,-100.0,0,805.0,1
2015-03-01,2015-03,HOME,AWAY,2,"(2, 3)",0.4689664628917714,300,"{2: 150.0, 3: 150.0}",1,150.0,0,955.0,0
2015-03-01,2015-03,HOME,AWAY,6,"(2, 3)",0.4689664628917714,100,"{2: 50.0, 3: 50.0}",0,-100.0,0,855.0,1
2015-03-01,2015-03,HOME,AWAY,6,"(2, 3)",0.4689664628917714,300,"{2: 150.0, 3: 150.0}",0,-300.0,0,555.0,2
2015-03-01,2015-03,HOME,AWAY,2,"(2, 3)",0.4689664628917714,900,"{2: 450.0, 3: 450.0}",1,540.0000000000001,0,1095.0,0
2015-03-01,2015-03,HOME,AWAY,3,"(2, 3)",0.4689664628917714,100,"{2: 50.0, 3: 50.0}",1,85.0,0,1180.0,0
2015-03-01,2015-03,HOME,AWAY,3,"(2, 3)",0.4689664628917714,100,"{2: 50.0, 3: 50.0}",1,75.0,0,1255.0,0
2015-03-01,2015-03,HOME,AWAY,2,"(2, 3)",0.4689664628917714,100,"{2: 50.0, 3: 50.0}",1,50.0,0,1305.0,0
2015-03-01,2015-03,HOME,AWAY,2,"(2, 3)",0.4689664628917714,100,"{2: 50.0, 3: 50.0}",1,70.0,0,1375.0,0
2015-03-01,2015-03,HOME,AWAY,2,"(2, 3)",0.4689664628917714,100,"{2: 50.0, 3: 50.0}",1,52.499999999999986,0,1427.5,0
2015-03-01,2015-03,HOME,AWAY,1,"(2, 3)",0.4689664628917714,100,"{2: 50.0, 3: 50.0}",0,-100.0,0,1327.5,1
2015-03-01,2015-03,HOME,AWAY,0,"(2, 3)",0.4689664628917714,300,"{2: 150.0, 3: 150.0}",0,-300.0,0,1027.5,2
2015-03-01,2015-03,HOME,AWAY,1,"(2, 3)",0.4689664628917714,900,"{2: 450.0, 3: 450.0}",0,-900.0,0,127.5,3
2015-04-01,2015-04,HOME,AWAY,1,"(1, 2)",0.4721329001992603,2700,"{1: 1350.0, 2: 1350.0}",1,2497.5,0,2625.0,0
2015-04-01,2015-04,HOME,AWAY,2,"(1, 2)",0.4721329001992603,100,"{1: 50.0, 2: 50.0}",1,50.0,0,2675.0,0
2015-04-01,2015-04,HOME,AWAY,2,"(1, 2)",0.4721329001992603,100,"{1: 50.0, 2: 50.0}",1,60.000000000000014,0,2735.0,0
2015-04-01,2015-04,HOME,AWAY,4,"(1, 2)",0.4721329001992603,100,"{1: 50.0, 2: 50.0}",0,-100.0,0,2635.0,1
2015-04-01,2015-04,HOME,AWAY,2,"(1, 2)",0.4721329001992603,300,"{1: 150.0, 2: 150.0}",1,210.0,0,2845.0,0
2015-04-01,2015-04,HOME,AWAY,3,"(1, 2)",0.4721329001992603,100,"{1: 50.0, 2: 50.0}",0,-100.0,0,2745.0,1
2015-04-01,2015-04,HOME,AWAY,1,"(1, 2)",0.4721329001992603,300,"{1: 150.0, 2: 150.0}",1,240.0,0,2985.0,0
2015-04-01,2015-04,HOME,AWAY,2,"(1, 2)",0.4721329001992603,100,"{1: 50.0, 2: 50.0}",1,55.0,0,3040.0,0
2015-04-01,2015-04,HOME,AWAY,2,"(1, 2)",0.4721329001992603,100,"{1: 50.0, 2: 50.0}",1,52.499999999999986,0,3092.5,0
2015-04-01,2015-04,HOME,AWAY,2,"(1, 2)",0.4721329001992603,100,"{1: 50.0, 2: 50.0}",1,52.499999999999986,0,3145.0,0
2015-04-01,2015-04,HOME,AWAY,1,"(1, 2)",0.4721329001992603,100,"{1: 50.0, 2: 50.0}",1,97.5,0,3242.5,0
2015-04-01,2015-04,HOME,AWAY,3,"(1, 2)",0.4721329001992603,100,"{1: 50.0, 2: 50.0}",0,-100.0,0,3142.5,1
2015-04-01,2015-04,HOME,AWAY,1,"(1, 2)",0.4721329001992603,300,"{1: 150.0, 2: 150.0}",1,232.5,0,3375.0,0
2015-04-01,2015-04,HOME,AWAY,3,"(1, 2)",0.4721329001992603,100,"{1: 50.0, 2: 50.0}",0,-100.0,0,3275.0,1
2015-04-01,2015-04,HOME,AWAY,3,"(1, 2)",0.4721329001992603,300,"{1: 150.0, 2: 150.0}",0,-300.0,0,2975.0,2
2015-04-01,2015-04,HOME,AWAY,0,"(1, 2)",0.4721329001992603,900,"{1: 450.0, 2: 450.0}",0,-900.0,0,2075.0,3
2015-05-01,2015-05,HOME,AWAY,2,"(2, 3)",0.4592369158468991,2700,"{2: 1350.0, 3: 1350.0}",1,1822.5,0,3897.5,0
2015-05-01,2015-05,HOME,AWAY,2,"(2, 3)",0.4592369158468991,100,"{2: 50.0, 3: 50.0}",1,75.0,0,3972.5,0
2015-05-01,2015-05,HOME,AWAY,3,"(2, 3)",0.4592369158468991,100,"{2: 50.0, 3: 50.0}",1,72.50000000000001,0,4045.0,0
2015-05-01,2015-05,HOME,AWAY,3,"(2, 3)",0.4592369158468991,100,"{2: 50.0, 3: 50.0}",1,75.0,0,4120.0,0
2015-05-01,2015-05,HOME,AWAY,2,"(2, 3)",0.4592369158468991,100,"{2: 50.0, 3: 50.0}",1,75.0,0,4195.0,0
2015-05-01,2015-05,HOME,AWAY,3,"(2, 3)",0.4592369158468991,100,"{2: 50.0, 3: 50.0}",1,72.50000000000001,0,4267.5,0
2015-05-01,2015-05,HOME,AWAY,4,"(2, 3)",0.4592369158468991,100,"{2: 50.0, 3: 50.0}",0,-100.0,0,4167.5,1
2015-05-01,2015-05,HOME,AWAY,0,"(2, 3)",0.4592369158468991,300,"{2: 150.0, 3: 150.0}",0,-300.0,0,3867.5,2
2015-05-01,2015-05,HOME,AWAY,5,"(2, 3)",0.4592369158468991,900,"{2: 450.0, 3: 450.0}",0,-900.0,0,2967.5,3
2015-05-01,2015-05,HOME,AWAY,2,"(2, 3)",0.4592369158468991,2700,"{2: 1350.0, 3: 1350.0}",1,1552.5,0,4520.0,0
2015-05-01,2015-05,HOME,AWAY,3,"(2, 3)",0.4592369158468991,100,"{2: 50.0, 3: 50.0}",1,92.5,0,4612.5,0
2015-05-01,2015-05,HOME,AWAY,1,"(2, 3)",0.4592369158468991,100,"{2: 50.0, 3: 50.0}",0,-100.0,0,4512.5,1
2015-05-01,2015-05,HOME,AWAY,3,"(2, 3)",0.4592369158468991,300,"{2: 150.0, 3: 150.0}",1,217.5,0,4730.0,0
2015-05-01,2015-05,HOME,AWAY,3,"(2, 3)",0.4592369158468991,100,"{2: 50.0, 3: 50.0}",1,77.49999999999999,0,4807.5,0
2015-05-01,2015-05,HOME,AWAY,6,"(2, 3)",0.4592369158468991,100,"{2: 50.0, 3: 50.0}",0,-100.0,0,4707.5,1
2015-05-01,2015-05,HOME,AWAY,5,"(2, 3)",0.4592369158468991,300,"{2: 150.0, 3: 150.0}",0,-300.0,0,4407.5,2
2015-06-01,2015-06,HOME,AWAY,2,"(2, 3)",0.46781501200599646,900,"{2: 450.0, 3: 450.0}",1,1394.9999999999998,0,5802.5,0
2015-06-01,2015-06,HOME,AWAY,0,"(2, 3)",0.46781501200599646,100,"{2: 50.0, 3: 50.0}",0,-100.0,0,5702.5,1
2015-06-01,2015-06,HOME,AWAY,6,"(2, 3)",0.46781501200599646,300,"{2: 150.0, 3: 150.0}",0,-300.0,0,5402.5,2
2015-06-01,2015-06,HOME,AWAY,1,"(2, 3)",0.46781501200599646,900,"{2: 450.0, 3: 450.0}",0,-900.0,0,4502.5,3
2015-06-01,2015-06,HOME,AWAY,7,"(2, 3)",0.46781501200599646,2700,"{2: 1350.0, 3: 1350.0}",0,-2700.0,0,1802.5,4
2015-06-01,2015-06,HOME,AWAY,3,"(2, 3)",0.46781501200599646,8100,"{2: 4050.0, 3: 4050.0}",1,6075.0,0,7877.5,0
2015-06-01,2015-06,HOME,AWAY,3,"(2, 3)",0.46781501200599646,100,"{2: 50.0, 3: 50.0}",1,100.0,0,7977.5,0
2015-06-01,2015-06,HOME,AWAY,5,"(2, 3)",0.46781501200599646,100,"{2: 50.0, 3: 50.0}",0,-100.0,0,7877.5,1
2015-06-01,2015-06,HOME,AWAY,7,"(2, 3)",0.46781501200599646,300,"{2: 150.0, 3: 150.0}",0,-300.0,0,7577.5,2
2015-06-01,2015-06,HOME,AWAY,4,"(2, 3)",0.46781501200599646,900,"{2: 450.0, 3: 450.0}",0,-900.0,0,6677.5,3
2015-06-01,2015-06,HOME,AWAY,4,"(2, 3)",0.46781501200599646,2700,"{2: 1350.0, 3: 1350.0}",0,-2700.0,0,3977.5,4
2015-06-01,2015-06,HOME,AWAY,2,"(2, 3)",0.46781501200599646,8100,"{2: 4050.0, 3: 4050.0}",1,4050.0,0,8027.5,0
2015-06-01,2015-06,HOME,AWAY,3,"(2, 3)",0.46781501200599646,100,"{2: 50.0, 3: 50.0}",1,77.49999999999999,0,8105.0,0
2015-06-01,2015-06,HOME,AWAY,7,"(2, 3)",0.46781501200599646,100,"{2: 50.0, 3: 50.0}",0,-100.0,0,8005.0,1
